diff_temp, diff_vazao, out_hot, out_cold
-10.0,-1.2000000000000899E-4,0.417,0.417
-9.983517487679713,-7.801542751210144E-4,0.417,0.417
-9.967122144970343,-0.0014381151571124517,0.417,0.417
-9.950813710200784,-0.0020938870508365737,0.418,0.418
-9.93455327767838,-0.0027394966454247216,0.418,0.418
-9.918379946808194,-0.003382947564262051,0.418,0.418
-9.902293445257804,-0.0040242442452390614,0.418,0.418
-9.886293499843998,-0.004663391133953532,0.418,0.418
-9.870379836549027,-0.005300392683608712,0.418,0.418
-9.854552180536825,-0.005935253354911518,0.418,0.418
-9.838810256169232,-0.006567977615970166,0.419,0.419
-9.82311658268597,-0.00719055645121458,0.419,0.419
-9.807508790180727,-0.007811029875224529,0.419,0.419
-9.791986592825136,-0.00842940238198131,0.419,0.419
-9.776549704102912,-0.009045678472024976,0.419,0.419
-9.761197836825986,-0.00965986265235319,0.419,0.419
-9.745930703150627,-0.01027195943632031,0.419,0.419
-9.730748014593505,-0.010881973343535578,0.419,0.419
-9.715649482047716,-0.011489908899762868,0.42,0.42
-9.700599224686552,-0.012087717421996658,0.42,0.42
-9.685633226117858,-0.012683479325212854,0.42,0.42
-9.670751187600438,-0.013277199153130304,0.42,0.42
-9.655952809886006,-0.01386888145478693,0.42,0.42
-9.641237793235025,-0.014458530784439705,0.42,0.42
-9.626605837432493,-0.015046151701465504,0.42,0.42
-9.612056641803669,-0.015631748770260967,0.42,0.42
-9.597589905229743,-0.01621532656014424,0.421,0.421
-9.58317131258936,-0.01678879792484833,0.421,0.421
-9.568835237753834,-0.017360282442286712,0.421,0.421
-9.554581370547304,-0.017929784691724127,0.421,0.421
-9.54040940046768,-0.018497309256523042,0.421,0.421
-9.526319016702015,-0.019062860724046726,0.421,0.421
-9.512309908141777,-0.019626443685561656,0.421,0.421
-9.498381763398061,-0.020188062736141266,0.421,0.421
-9.484534270816752,-0.02074772247456813,0.421,0.421
-9.47076711849359,-0.021305427503238383,0.422,0.422
-9.457047709629084,-0.02185304881329675,0.422,0.422
-9.443408655058505,-0.022398748577329264,0.422,0.422
-9.429849634476291,-0.022942531398946753,0.422,0.422
-9.416370327444856,-0.02348440188456835,0.422,0.422
-9.402970413409232,-0.024024364643327023,0.422,0.422
-9.389649571711601,-0.02456242428697697,0.422,0.422
-9.376407481605767,-0.025098585429798925,0.422,0.422
-9.363243822271532,-0.025632852688506902,0.422,0.422
-9.350158272828995,-0.026165230682156038,0.423,0.423
-9.337119905498096,-0.026687550016790684,0.423,0.423
-9.324159620766931,-0.02720801394131589,0.423,0.423
-9.3112770900198,-0.02772662706724205,0.423,0.423
-9.298471984698658,-0.028243394007638978,0.423,0.423
-9.28574397631688,-0.02875831937704576,0.423,0.423
-9.27309273647289,-0.02927140779138182,0.423,0.423
-9.260517936863685,-0.029782663867856884,0.423,0.423
-9.248019249298306,-0.030292092224881606,0.423,0.423
-9.235596345711166,-0.03079969748197897,0.424,0.424
-9.223219916145407,-0.03129727134679583,0.424,0.424
-9.21091920538641,-0.03179305661647369,0.424,0.424
-9.198693878301157,-0.03228705789424613,0.424,0.424
-9.186543599997684,-0.03277927978370743,0.424,0.424
-9.17446803583777,-0.033269726888727646,0.424,0.424
-9.162466851449516,-0.03375840381336681,0.424,0.424
-9.150539712739818,-0.03424531516179097,0.424,0.424
-9.13868628590673,-0.03473046553818693,0.424,0.424
-9.126906237451738,-0.03521385954667855,0.424,0.424
-9.115199234191941,-0.03569550179124259,0.425,0.425
-9.103537702015412,-0.036167142465729274,0.425,0.425
-9.09194911326626,-0.036637066544371155,0.425,0.425
-9.080433128418516,-0.03710527860551871,0.425,0.425
-9.068989408374488,-0.037571783226661326,0.425,0.425
-9.057617614476172,-0.03803658498434648,0.425,0.425
-9.04631740851653,-0.038499688454101344,0.425,0.425
-9.035088452750664,-0.03896109821035276,0.425,0.425
-9.023930409906882,-0.039420818826348625,0.425,0.425
-9.012842943197644,-0.03987885487407972,0.425,0.425
-9.001825716330426,-0.040335210924201004,0.425,0.425
-8.990878393518447,-0.040789891545953694,0.426,0.426
-8.979975231956402,-0.04123460326893924,0.426,0.426
-8.969141838462402,-0.04167767539753309,0.426,0.426
-8.958377871673985,-0.042119112465490605,0.426,0.426
-8.947682990842754,-0.04255891900448405,0.426,0.426
-8.937056855844286,-0.042997099544029194,0.426,0.426
-8.926499127187867,-0.04343365861141213,0.426,0.426
-8.916009466026164,-0.043868600731617136,0.426,0.426
-8.905587534164766,-0.0443019304272535,0.426,0.426
-8.895232994071598,-0.04473365221848391,0.426,0.426
-8.884945508886268,-0.045163770622953736,0.426,0.426
-8.87472474242923,-0.04559229015571786,0.427,0.427
-8.864546699109358,-0.046010875745436386,0.427,0.427
-8.85443520909417,-0.046427898908181664,0.427,0.427
-8.844389931369236,-0.04684336411384127,0.427,0.427
-8.834410525704104,-0.04725727582909378,0.427,0.427
-8.82449665266057,-0.04766963851734318,0.427,0.427
-8.814647973600852,-0.04808045663865146,0.427,0.427
-8.804864150695646,-0.04848973464967443,0.427,0.427
-8.795144846932054,-0.04889747700359548,0.427,0.427
-8.785489726121423,-0.0493036881500597,0.427,0.427
-8.775898452907054,-0.04970837253511129,0.427,0.427
-8.766370692771787,-0.05011153460112783,0.427,0.427
-8.756906112045534,-0.050513178786756874,0.428,0.428
-8.747482524879526,-0.050904926939302375,0.428,0.428
-8.738121925886485,-0.05129519425526252,0.428,0.428
-8.7288239773183,-0.05168398511807182,0.428,0.428
-8.719588342370532,-0.05207130390687409,0.428,0.428
-8.710414685188937,-0.05245715499646375,0.428,0.428
-8.70130267087589,-0.052841542757226634,0.428,0.428
-8.692251965496652,-0.053224471555082586,0.428,0.428
-8.683262236085582,-0.05360594575142763,0.428,0.428
-8.674333150652203,-0.05398596970307612,0.428,0.428
-8.665464378187178,-0.05436454776220456,0.428,0.428
-8.656655588668162,-0.05474168427629489,0.428,0.428
-8.647906453065556,-0.05511738358807805,0.428,0.428
-8.639216643348128,-0.055491650035478846,0.429,0.429
-8.630565820172194,-0.05585606140494204,0.429,0.429
-8.621974110286061,-0.05621907753097677,0.429,0.429
-8.613441182334913,-0.056580702685996354,0.429,0.429
-8.604966706051343,-0.056940941137113676,0.429,0.429
-8.596550352259968,-0.057299797146090015,0.429,0.429
-8.588191792882007,-0.05765727496928463,0.429,0.429
-8.579890700939725,-0.05801337885760571,0.429,0.429
-8.571646750560717,-0.05836811305646006,0.429,0.429
-8.563459616982172,-0.0587214818057048,0.429,0.429
-8.555328976555003,-0.059073489339597995,0.429,0.429
-8.547254506747851,-0.059424139886751326,0.429,0.429
-8.539235886151019,-0.05977343767008125,0.429,0.429
-8.531272794480294,-0.06012138690676272,0.429,0.429
-8.523364912580671,-0.06046799180818119,0.429,0.429
-8.515511922429976,-0.06081325657988679,0.43,0.43
-8.507695468936213,-0.06114871137095934,0.43,0.43
-8.499933678145307,-0.061482864232879963,0.43,0.43
-8.492226229483133,-0.061815719294728844,0.43,0.43
-8.484572803588268,-0.06214728067933384,0.43,0.43
-8.47697308231458,-0.062477552503228284,0.43,0.43
-8.469426748733806,-0.06280653887661092,0.43,0.43
-8.461933487137973,-0.06313424390330347,0.43,0.43
-8.454492983041728,-0.06346067168071223,0.43,0.43
-8.447104923184607,-0.06378582629978624,0.43,0.43
-8.439768995533175,-0.06410971184497949,0.43,0.43
-8.43248488928311,-0.06443233239421009,0.43,0.43
-8.425252294861167,-0.06475369201882264,0.43,0.43
-8.418070903927067,-0.0650737947835498,0.43,0.43
-8.410940409375296,-0.06539264474647366,0.43,0.43
-8.403860505336812,-0.06571024595898856,0.43,0.43
-8.39683088718066,-0.06602660246576375,0.431,0.431
-8.389835146420317,-0.06633319719879394,0.431,0.431
-8.38288945222332,-0.06663858595812167,0.431,0.431
-8.375993498125933,-0.06694277270105287,0.431,0.431
-8.369146978972537,-0.06724576137783622,0.431,0.431
-8.36234959091632,-0.06754755593163064,0.431,0.431
-8.355601031419823,-0.06784816029847396,0.431,0.431
-8.348900999255424,-0.06814757840725083,0.431,0.431
-8.342249194505762,-0.06844581417966178,0.431,0.431
-8.335645318564062,-0.06874287153019276,0.431,0.431
-8.329089074134394,-0.06903875436608498,0.431,0.431
-8.322580165231827,-0.06933346658730377,0.431,0.431
-8.316118297182534,-0.06962701208651034,0.431,0.431
-8.30970317662381,-0.06991939474903153,0.431,0.431
-8.30333451150402,-0.07021061845283183,0.431,0.431
-8.297012011082465,-0.07050068706848367,0.431,0.431
-8.290735385929178,-0.07078960445914095,0.431,0.431
-8.284504347924646,-0.07107737448050944,0.431,0.431
-8.27831861025945,-0.07136400098082085,0.432,0.432
-8.272163752485682,-0.0716409179766011,0.432,0.432
-8.266053952147729,-0.07191673068474014,0.432,0.432
-8.25998892127873,-0.07219144285497336,0.432,0.432
-8.2539683732813,-0.07246505822932359,0.432,0.432
-8.24799202292629,-0.07273758054207813,0.432,0.432
-8.242059586351438,-0.07300901351976619,0.432,0.432
-8.236170781059982,-0.07327936088113762,0.432,0.432
-8.230325325919218,-0.0735486263371401,0.432,0.432
-8.224522941158963,-0.07381681359089909,0.432,0.432
-8.21876334836998,-0.07408392633769612,0.432,0.432
-8.213046270502343,-0.07434996826494833,0.432,0.432
-8.207371431863727,-0.07461494305218819,0.432,0.432
-8.201738558117643,-0.07487885437104369,0.432,0.432
-8.196147376281623,-0.07514170588521851,0.432,0.432
-8.190597614725334,-0.07540350125047279,0.432,0.432
-8.185089003168649,-0.07566424411460426,0.432,0.432
-8.179621272679636,-0.07592393811742948,0.432,0.432
-8.174194155672534,-0.07618258689076596,0.432,0.432
-8.168807385905616,-0.07644019405841351,0.432,0.432
